"sep=;"
A;modbus:9_mb_WHr_I;modbus:8_mb_WHr_I;modbus:8_mb_WHr_I;modbus:8_mb_WHr_I;modbus:9_mb_WHr_I;modbus:9_mb_WHr_I
Device Name;TTA-1 - MEDICION EMERGENCIA;TG1 - MEDICION GENERAL;TG1 - MEDICION GENERAL;TG1 - MEDICION GENERAL;TTA-1 - MEDICION EMERGENCIA;TTA-1 - MEDICION EMERGENCIA
Device type;;;;;;
Measurement Name;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Reactive Energy;Total Received Reactive Energy;Total Delivered Reactive Energy;Total Received Reactive Energy
Measurement Unit;Wh;Wh;VArh;VArh;VArh;VArh
2025/09/11 20:50:00;44530081;43498383;5876237;9213412;1787535;15902970
2025/09/11 21:00:00;44536155;43504777;5876237;9215467;1787535;15905041
2025/09/11 21:10:00;44542113;43511066;5876244;9217506;1787535;15907145
2025/09/11 21:20:00;44548008;43517531;5876274;9219195;1787535;15909243
2025/09/11 21:30:00;44554129;43524222;5876368;9220605;1787535;15911297
2025/09/11 21:40:00;44560144;43530803;5876429;9222244;1787535;15913395
2025/09/11 21:50:00;44566134;43537356;5876501;9223984;1787535;15915493
2025/09/11 22:00:00;44572096;43543869;5876569;9225748;1787535;15917616
2025/09/11 22:10:00;44578281;43550622;5876957;9227171;1787672;15919679
2025/09/11 22:20:00;44584394;43557290;5877221;9228817;1787833;15921761
2025/09/11 22:30:00;44590470;43563929;5877269;9230580;1787833;15923854
2025/09/11 22:40:00;44596526;43570535;5877323;9232373;1787833;15925982
2025/09/11 22:50:00;44602472;43577048;5877382;9234198;1787833;15928103
2025/09/11 23:00:00;44608499;43583623;5877425;9236021;1787833;15930189
2025/09/11 23:10:00;44614477;43590167;5877483;9237722;1787833;15932299
2025/09/11 23:20:00;44620345;43596591;5877490;9239698;1787833;15934442
2025/09/11 23:30:00;44626213;43603011;5877501;9241668;1787833;15936579
2025/09/11 23:40:00;44632254;43609594;5877503;9243620;1787833;15938676
2025/09/11 23:50:00;44638178;43616070;5877503;9245611;1787833;15940781
2025/09/12 00:00:00;44644111;43622553;5877524;9247547;1787833;15942923
2025/09/12 00:10:00;44650029;43629032;5877670;9249182;1787833;15945052
2025/09/12 00:20:00;44655857;43635412;5877718;9251046;1787833;15947197
2025/09/12 00:30:00;44661713;43641817;5877733;9252998;1787833;15949335
2025/09/12 00:40:00;44667563;43648221;5877750;9254976;1787833;15951471
2025/09/12 00:50:00;44673300;43654509;5877755;9257041;1787833;15953652
2025/09/12 01:00:00;44679146;43660907;5877759;9259031;1787833;15955794
2025/09/12 01:10:00;44685021;43667335;5877759;9261015;1787833;15957920
